feature,importance
PAY_0,0.24399129716030488
PAY_2,0.08825321835681084
PAY_3,0.05354124193593062
PAY_4,0.05106952751195132
LIMIT_BAL,0.05094448279254818
PAY_AMT1,0.043025257788155066
BILL_AMT1,0.04274104738874514
PAY_AMT2,0.04223712506745231
PAY_6,0.03836425100172841
PAY_5,0.03635167589099939
BILL_AMT2,0.03465639451780164
PAY_AMT3,0.032532126723278716
BILL_AMT3,0.029596911689867094
BILL_AMT4,0.029446255371011615
PAY_AMT6,0.029397539370632355
PAY_AMT4,0.028628658254702188
BILL_AMT5,0.02758913621172114
PAY_AMT5,0.027267885483326412
BILL_AMT6,0.02706503307376096
AGE,0.025516730626256607
EDUCATION,0.009588754308751418
MARRIAGE,0.004653380609395622
SEX,0.003542068864868131
