feature,perm_mean,perm_std
PAY_0,0.055316666666666646,0.0030390513870833533
PAY_4,0.0037333333333333107,0.0013948317301938546
PAY_2,0.0010999999999999788,0.0013379088160259762
AGE,0.00018333333333330203,0.0006970174555442113
ID,0.0,0.0
MARRIAGE,-0.0003500000000000281,0.0004740487551109181
EDUCATION,-0.00040000000000001146,0.0005783117190965699
SEX,-0.0005333333333333523,0.0003711842908553318
PAY_5,-0.0013666666666667048,0.0004760952285695316
PAY_6,-0.0017166666666666996,0.0009575721614815511
PAY_3,-0.0019333333333333535,0.0007753135566408519
LIMIT_BAL,-0.0037333333333333663,0.0017387735140993153
PAY_AMT5,-0.00401666666666668,0.001129035970295993
PAY_AMT6,-0.005100000000000016,0.0012023125864580797
PAY_AMT2,-0.007566666666666677,0.00159721980676144
BILL_AMT3,-0.007583333333333353,0.001241079279408773
PAY_AMT3,-0.007683333333333342,0.0016286497474902438
BILL_AMT5,-0.007783333333333364,0.001258416112067502
BILL_AMT6,-0.008083333333333354,0.0010089873911777027
BILL_AMT4,-0.009016666666666673,0.001710181926644727
BILL_AMT2,-0.009483333333333344,0.0015210559197843848
PAY_AMT4,-0.009583333333333366,0.0013128637062205326
BILL_AMT1,-0.009766666666666668,0.0017969109295924849
PAY_AMT1,-0.010416666666666685,0.001571004632569714
